,top_i,top_d(um)
0,6.28E-03,0.00E+00
1,3.58E-02,2.00E-03
2,1.13E-01,4.00E-03
3,3.05E-01,6.00E-03
4,6.83E-01,8.00E-03
5,1.28E+00,1.00E-02
6,2.01E+00,1.20E-02
7,2.65E+00,1.40E-02
8,3.00E+00,1.60E-02
9,3.00E+00,1.80E-02
10,2.76E+00,2.00E-02
11,2.39E+00,2.20E-02
12,1.95E+00,2.40E-02
13,1.49E+00,2.60E-02
14,1.06E+00,2.80E-02
15,6.68E-01,3.00E-02
16,3.78E-01,3.20E-02
17,1.89E-01,3.40E-02
18,8.22E-02,3.60E-02
19,2.34E-02,3.80E-02
20,1.49E-03,4.00E-02
21,-1.50E-05,4.20E-02
22,-2.50E-06,4.40E-02
23,8.71E-07,4.60E-02
24,-2.42E-07,4.80E-02
25,7.74E-08,5.00E-02
26,-1.42E-08,5.20E-02
27,7.71E-09,5.40E-02
28,-2.43E-08,5.60E-02
29,3.98E-09,5.80E-02
30,7.17E-07,6.00E-02
31,-6.23E-06,6.20E-02
32,8.49E-05,6.40E-02
33,1.36E-03,6.60E-02
34,1.07E-02,6.80E-02
35,4.99E-02,7.00E-02
36,1.41E-01,7.20E-02
37,3.02E-01,7.40E-02
38,5.19E-01,7.60E-02
39,7.82E-01,7.80E-02
40,1.10E+00,8.00E-02
41,1.54E+00,8.20E-02
42,2.14E+00,8.40E-02
43,2.74E+00,8.60E-02
44,3.07E+00,8.80E-02
45,2.96E+00,9.00E-02
46,2.47E+00,9.20E-02
47,1.82E+00,9.40E-02
48,1.19E+00,9.60E-02
49,6.93E-01,9.80E-02
50,3.63E-01,1.00E-01
51,1.74E-01,1.02E-01
52,7.35E-02,1.04E-01
